school_name,dbn,num_testtakers,num_offered,pct_8th_graders_offered,pct_black_hispanic,SED Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency
BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,30Q580,94,62,52%,21%,343000011580.0,30.0,40.755047999999995,-73.926963,"34-12 36TH AVE LONG ISLAND CITY, NY 11106",LONG ISLAND CITY,11106.0,"07,08,09,10,11,12",07,12,No,0.276,,0%,49%,2%,15%,17%,31%,98%,1%,88%,Meeting Target,81%,Approaching Target,90%,Exceeding Target,74%,Approaching Target,70%,Not Meeting Target,89%,Meeting Target,Exceeding Target,3.91,4.07
I.S. 119 THE GLENDALE,24Q119,104,59,27%,32%,342400010119.0,24.0,40.705197999999996,-73.875033,"74-01 78TH AVE GLENDALE, NY 11385",GLENDALE,11385.0,"06,07,08",06,08,No,0.436,"$57,397.18 ",4%,25%,1%,30%,32%,42%,95%,13%,89%,Exceeding Target,87%,Exceeding Target,84%,Meeting Target,83%,Meeting Target,75%,Not Meeting Target,87%,Meeting Target,Exceeding Target,3.13,3.38
THE ANDERSON SCHOOL,03M334,75,58,76%,12%,310300010334.0,3.0,40.781081,-73.978085,"100 W 77TH ST NEW YORK, NY 10024",NEW YORK,10024.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.134,"$89,026.73 ",0%,28%,4%,9%,13%,53%,98%,1%,90%,Exceeding Target,90%,Exceeding Target,92%,Exceeding Target,87%,Meeting Target,93%,Exceeding Target,92%,Meeting Target,Exceeding Target,3.93,4.15
J.H.S. 194 WILLIAM CARR,25Q194,147,54,14%,33%,342500010194.0,25.0,40.78322,-73.806977,"154-60 17TH AVE WHITESTONE, NY 11357",WHITESTONE,11357.0,"06,07,08",06,08,No,0.34,,7%,35%,2%,29%,31%,33%,95%,12%,86%,Meeting Target,84%,Exceeding Target,82%,Meeting Target,77%,Approaching Target,75%,Approaching Target,87%,Meeting Target,Approaching Target,2.87,3.07
J.H.S. 190 RUSSELL SAGE,28Q190,172,53,15%,35%,342800010190.0,28.0,40.723014,-73.851845,"68-17 AUSTIN ST FOREST HILLS, NY 11375",FOREST HILLS,11375.0,"06,07,08",06,08,No,0.37200000000000005,,8%,33%,7%,28%,35%,29%,95%,12%,86%,Meeting Target,81%,Meeting Target,80%,Meeting Target,72%,Approaching Target,70%,Not Meeting Target,82%,Approaching Target,Meeting Target,2.85,3.03
I.S. 237,25Q237,194,53,12%,23%,342500010237.0,25.0,40.749539,-73.821454,"46-21 COLDEN ST FLUSHING, NY 11355",FLUSHING,11355.0,"06,07,08",06,08,No,0.562,,19%,73%,7%,17%,25%,2%,96%,13%,78%,Meeting Target,78%,Approaching Target,78%,Approaching Target,71%,Approaching Target,66%,Not Meeting Target,83%,Approaching Target,Meeting Target,2.72,3.22
J.H.S. 104 SIMON BARUCH,02M104,260,53,14%,26%,310200010104.0,2.0,40.735735,-73.980611,"330 E 21ST ST NEW YORK, NY 10010",NEW YORK,10010.0,"06,07,08",06,08,No,0.522,,5%,40%,8%,21%,29%,28%,96%,11%,87%,Meeting Target,89%,Exceeding Target,85%,Meeting Target,84%,Meeting Target,70%,Approaching Target,92%,Meeting Target,Exceeding Target,3.05,3.25
J.H.S. 157 STEPHEN A. HALSEY,28Q157,249,52,10%,33%,342800010157.0,28.0,40.732287,-73.853054,"63-55 102ND ST REGO PARK, NY 11374",REGO PARK,11374.0,"06,07,08,09",06,09,No,0.408,,9%,24%,10%,23%,33%,41%,95%,12%,91%,Exceeding Target,89%,Exceeding Target,84%,Meeting Target,84%,Meeting Target,72%,Approaching Target,90%,Meeting Target,Exceeding Target,2.95,3.19
THE MATH & SCIENCE EXPLORATORY SCHOOL,15K447,134,51,29%,31%,331500010447.0,15.0,40.683834999999995,-73.980355,"345 DEAN ST BROOKLYN, NY 11217",BROOKLYN,11217.0,"06,07,08",06,08,No,0.244,,0%,8%,17%,20%,37%,52%,96%,7%,87%,Exceeding Target,92%,Exceeding Target,87%,Meeting Target,91%,Exceeding Target,88%,Exceeding Target,93%,Meeting Target,Exceeding Target,3.42,3.6
P.S. 122 MAMIE FAY,30Q122,74,49,65%,25%,343000010122.0,30.0,40.780311,-73.91658000000001,"21-21 DITMARS BLVD ASTORIA, NY 11105",ASTORIA,11105.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.42100000000000004,"$54,818.42 ",5%,30%,6%,21%,27%,39%,96%,8%,90%,Exceeding Target,86%,Exceeding Target,91%,Meeting Target,71%,Approaching Target,78%,Approaching Target,92%,Meeting Target,Exceeding Target,3.38,3.52
BROOKLYN SCHOOL OF INQUIRY,20K686,80,46,54%,10%,332000010686.0,20.0,40.607008,-73.986852,"50 AVE P BROOKLYN, NY 11218",BROOKLYN,11218.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.209,"$65,859.29 ",6%,18%,5%,5%,10%,71%,96%,5%,91%,Exceeding Target,97%,Exceeding Target,94%,Exceeding Target,95%,Exceeding Target,90%,Exceeding Target,95%,Exceeding Target,Meeting Target,3.47,3.68
I.S. 075 FRANK D. PAULO,31R075,153,46,11%,14%,353100010075.0,31.0,40.544369,-74.197201,"455 HUGUENOT AVE STATEN ISLAND, NY 10312",STATEN ISLAND,10312.0,"06,07,08",06,08,No,0.207,,1%,9%,1%,10%,11%,79%,95%,12%,92%,Exceeding Target,94%,Exceeding Target,85%,Meeting Target,90%,Exceeding Target,74%,Approaching Target,92%,Meeting Target,Exceeding Target,3.05,3.16
I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL,24Q005,264,40,6%,53%,342400010005.0,24.0,40.737757,-73.887429,"50-40 JACOBUS ST ELMHURST, NY 11373",ELMHURST,11373.0,"06,07,08",06,08,No,0.643,,16%,44%,2%,52%,54%,2%,96%,10%,82%,Approaching Target,82%,Meeting Target,83%,Meeting Target,76%,Approaching Target,68%,Not Meeting Target,90%,Meeting Target,Exceeding Target,2.84,2.99
THE SEEALL ACADEMY,20K180,113,38,22%,28%,332000010180.0,20.0,40.62659,-73.989464,"5601 16TH AVE BROOKLYN, NY 11204",BROOKLYN,11204.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.706,"$39,390.34 ",23%,43%,1%,28%,29%,27%,97%,9%,93%,Meeting Target,94%,Exceeding Target,86%,Meeting Target,89%,Exceeding Target,80%,Approaching Target,93%,Exceeding Target,Meeting Target,2.74,3.03
I.S. 125 THOM J. MCCANN WOODSIDE,24Q125,272,34,6%,56%,342400010125.0,24.0,40.741091,-73.918649,"46-02 47TH AVE WOODSIDE, NY 11377",WOODSIDE,11377.0,"06,07,08",06,08,No,0.615,,15%,40%,1%,53%,54%,5%,96%,10%,90%,Exceeding Target,91%,Exceeding Target,88%,Exceeding Target,84%,Meeting Target,73%,Approaching Target,93%,Meeting Target,Exceeding Target,2.65,2.96
IRWIN ALTMAN MIDDLE SCHOOL 172,26Q172,189,33,10%,24%,342600010172.0,26.0,40.742067,-73.713022,"81-14 257TH ST FLORAL PARK, NY 11004",FLORAL PARK,11004.0,"06,07,08",06,08,No,0.271,,4%,62%,10%,13%,23%,13%,97%,6%,86%,Meeting Target,79%,Approaching Target,82%,Meeting Target,68%,Not Meeting Target,73%,Approaching Target,82%,Approaching Target,Meeting Target,2.96,3.08
I.S. 281 JOSEPH B CAVALLARO,21K281,171,30,7%,31%,332100010281.0,21.0,40.594445,-73.99381899999999,"8787 24TH AVE BROOKLYN, NY 11214",BROOKLYN,11214.0,"06,07,08",06,08,No,0.631,,16%,38%,7%,22%,29%,31%,94%,19%,81%,Approaching Target,78%,Meeting Target,81%,Approaching Target,65%,Not Meeting Target,69%,Not Meeting Target,81%,Approaching Target,Exceeding Target,2.72,2.97
I.S. 025 ADRIEN BLOCK,25Q025,147,29,9%,26%,342500010025.0,25.0,40.765017,-73.789689,"34-65 192ND ST FLUSHING, NY 11358",FLUSHING,11358.0,"06,07,08",06,08,No,0.336,,10%,50%,1%,24%,25%,24%,97%,6%,87%,Approaching Target,85%,Meeting Target,85%,Meeting Target,75%,Approaching Target,69%,Not Meeting Target,87%,Meeting Target,Meeting Target,2.95,3.23
J.H.S. 118 WILLIAM W. NILES,10X118,270,29,7%,82%,321000010118.0,10.0,40.848559,-73.89256999999999,"577 E 179TH ST BRONX, NY 10457",BRONX,10457.0,"06,07,08",06,08,No,0.843,,11%,15%,21%,60%,81%,3%,92%,26%,84%,Approaching Target,76%,Approaching Target,83%,Approaching Target,69%,Not Meeting Target,69%,Not Meeting Target,88%,Meeting Target,Meeting Target,2.54,2.59
TAG YOUNG SCHOLARS,04M012,54,27,48%,36%,310400010012.0,4.0,40.792590000000004,-73.94211899999999,"240 E 109TH ST NEW YORK, NY 10029",NEW YORK,10029.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.435,"$48,431.58 ",0%,34%,25%,19%,44%,15%,97%,5%,92%,Exceeding Target,92%,Exceeding Target,91%,Exceeding Target,86%,Meeting Target,87%,Meeting Target,90%,Meeting Target,Exceeding Target,3.64,3.89
SCHOLARS' ACADEMY,27Q323,104,27,12%,37%,342700010323.0,27.0,40.58445,-73.82517,"320 BEACH 104TH ST ROCKAWAY PARK, NY 11694",ROCKAWAY PARK,11694.0,"06,07,08,09,10,11,12",06,12,No,0.40299999999999997,,0%,21%,19%,18%,37%,41%,97%,5%,93%,Exceeding Target,96%,Exceeding Target,92%,Exceeding Target,93%,Exceeding Target,79%,Meeting Target,95%,Exceeding Target,Exceeding Target,3.7,3.85
J.H.S. 220 JOHN J. PERSHING,20K220,181,27,5%,43%,332000010220.0,20.0,40.640772999999996,-74.00080799999999,"4812 9TH AVE BROOKLYN, NY 11220",BROOKLYN,11220.0,"06,07,08",06,08,No,0.828,,33%,49%,1%,44%,45%,6%,95%,12%,83%,Exceeding Target,80%,Approaching Target,82%,Meeting Target,77%,Approaching Target,67%,Not Meeting Target,87%,Approaching Target,Meeting Target,2.42,2.81
I.S. 227 LOUIS ARMSTRONG,30Q227,206,27,6%,59%,343000011227.0,30.0,40.757692,-73.87417099999999,"32-02 JUNCTION BLVD EAST ELMHURST, NY 11369",EAST ELMHURST,11369.0,"05,06,07,08",05,08,No,0.5539999999999999,,5%,14%,10%,48%,59%,27%,97%,6%,94%,Exceeding Target,96%,Exceeding Target,90%,Exceeding Target,93%,Exceeding Target,75%,Approaching Target,95%,Exceeding Target,Exceeding Target,2.91,3.2
I.S. 318 EUGENIO MARIA DE HOSTOS,14K318,222,27,6%,78%,331400010318.0,14.0,40.703215,-73.948503,"101 WALTON ST BROOKLYN, NY 11206",BROOKLYN,11206.0,"06,07,08",06,08,No,0.6779999999999999,,5%,7%,18%,62%,80%,13%,95%,14%,87%,Meeting Target,91%,Meeting Target,87%,Meeting Target,85%,Meeting Target,78%,Meeting Target,92%,Meeting Target,Meeting Target,2.59,2.63
THE 30TH AVENUE SCHOOL (G&T CITYWIDE),30Q300,39,26,63%,15%,343000010300.0,30.0,40.768259,-73.922754,"28-37 29TH ST ASTORIA, NY 11102",ASTORIA,11102.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.259,"$66,603.51 ",1%,45%,6%,9%,14%,31%,96%,4%,94%,,97%,,95%,,95%,,93%,,99%,,,3.73,3.99
I.S. 072 ROCCO LAURIE,31R072,139,26,6%,31%,353100010072.0,31.0,40.59247,-74.158532,"33 FERNDALE AVE STATEN ISLAND, NY 10314",STATEN ISLAND,10314.0,"06,07,08",06,08,No,0.366,,4%,20%,5%,24%,29%,50%,94%,17%,89%,Meeting Target,93%,Exceeding Target,86%,Meeting Target,87%,Meeting Target,69%,Not Meeting Target,93%,Meeting Target,Exceeding Target,2.83,2.79
I.S. 230,30Q230,157,26,6%,60%,343000010230.0,30.0,40.75264,-73.892841,"73-10 34TH AVE JACKSON HEIGHTS, NY 11372",JACKSON HEIGHTS,11372.0,"06,07,08",06,08,No,0.601,,11%,37%,1%,56%,57%,5%,96%,8%,90%,Exceeding Target,91%,Exceeding Target,87%,Exceeding Target,85%,Meeting Target,74%,Approaching Target,92%,Meeting Target,Exceeding Target,2.79,3.12
I.S. 141 THE STEINWAY,30Q141,170,26,7%,37%,343000010141.0,30.0,40.775892999999996,-73.90456400000001,"37-11 21ST AVE LONG ISLAND CITY, NY 11105",LONG ISLAND CITY,11105.0,"06,07,08",06,08,No,0.513,,6%,23%,4%,38%,41%,34%,95%,12%,89%,Meeting Target,89%,Exceeding Target,85%,Meeting Target,78%,Approaching Target,73%,Approaching Target,87%,Approaching Target,Meeting Target,2.87,3.03
J.H.S. 227 EDWARD B. SHALLOW,20K227,197,25,5%,27%,332000010227.0,20.0,40.621845,-73.995529,"6500 16TH AVE BROOKLYN, NY 11204",BROOKLYN,11204.0,"06,07,08",06,08,No,0.731,,26%,60%,0%,24%,25%,16%,96%,11%,85%,Approaching Target,87%,Meeting Target,85%,Meeting Target,78%,Approaching Target,68%,Not Meeting Target,91%,Meeting Target,Meeting Target,2.49,2.83
J.H.S. 217 ROBERT A. VAN WYCK,28Q217,175,24,4%,56%,342800010217.0,28.0,40.710509,-73.811875,"85-05 144TH ST JAMAICA, NY 11435",JAMAICA,11435.0,"06,07,08",06,08,No,0.628,,18%,37%,13%,41%,55%,6%,93%,19%,91%,Meeting Target,95%,Meeting Target,87%,Meeting Target,90%,Exceeding Target,75%,Approaching Target,94%,Exceeding Target,Exceeding Target,2.64,2.64
COLUMBIA SECONDARY SCHOOL,05M362,42,23,24%,64%,310500011362.0,5.0,40.81064,-73.95584699999999,"425 W 123RD ST NEW YORK, NY 10027",NEW YORK,10027.0,"06,07,08,09,10,11,12",06,12,No,0.507,,0%,12%,21%,44%,65%,20%,98%,1%,87%,Exceeding Target,92%,Exceeding Target,88%,Exceeding Target,90%,Exceeding Target,84%,Exceeding Target,93%,Exceeding Target,Exceeding Target,3.47,3.73
QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,28Q680,61,23,28%,37%,342800011680.0,28.0,40.71855,-73.805991,"160-20 GOETHALS AVE JAMAICA, NY 11432",JAMAICA,11432.0,"07,08,09,10,11,12",07,12,No,0.41,,0%,47%,35%,11%,46%,3%,98%,1%,85%,Meeting Target,59%,Meeting Target,82%,Exceeding Target,45%,Not Meeting Target,66%,Not Meeting Target,64%,Not Meeting Target,Meeting Target,3.43,3.53
P.S. 184M SHUANG WEN,01M184,67,23,26%,17%,310100010184.0,1.0,40.711437,-73.985486,"327 CHERRY ST-2ND FL NEW YORK, NY 10002",NEW YORK,10002.0,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.5589999999999999,"$40,809.90 ",17%,71%,4%,12%,15%,9%,98%,2%,90%,,81%,,91%,,67%,Not Meeting Target,83%,Approaching Target,85%,Approaching Target,Exceeding Target,3.24,3.63
M.S. 137 AMERICA'S SCHOOL OF HEROES,27Q137,179,23,4%,39%,342700010137.0,27.0,40.67807,-73.839652,"109-15 98TH ST OZONE PARK, NY 11417",OZONE PARK,11417.0,"06,07,08",06,08,No,0.541,,9%,54%,5%,32%,37%,2%,93%,24%,91%,Meeting Target,88%,Approaching Target,82%,Approaching Target,82%,Meeting Target,74%,Approaching Target,90%,Meeting Target,Meeting Target,2.68,2.81
BATTERY PARK CITY SCHOOL,02M276,56,22,26%,17%,310200010276.0,2.0,40.706563,-74.017528,"55 BATTERY PL NEW YORK, NY 10011",NEW YORK,10011.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.114,"$140,085.12 ",2%,21%,4%,11%,15%,56%,96%,8%,92%,Exceeding Target,94%,Meeting Target,88%,Meeting Target,92%,Exceeding Target,90%,Exceeding Target,93%,Meeting Target,Meeting Target,3.16,3.32
I.S. 007 ELIAS BERNSTEIN,31R007,129,22,6%,10%,353100010007.0,31.0,40.52409,-74.186183,"1270 HUGUENOT AVE STATEN ISLAND, NY 10312",STATEN ISLAND,10312.0,"06,07,08",06,08,No,0.239,,1%,4%,1%,7%,7%,88%,94%,15%,94%,Exceeding Target,93%,Exceeding Target,88%,Meeting Target,84%,Meeting Target,76%,Approaching Target,91%,Meeting Target,Meeting Target,3.1,3.22
BELL ACADEMY,25Q294,69,21,15%,36%,342500010294.0,25.0,40.782346000000004,-73.77844,"18-25 212TH ST BAYSIDE, NY 11360",BAYSIDE,11360.0,"06,07,08",06,08,No,0.255,,2%,34%,4%,27%,31%,34%,95%,9%,92%,Exceeding Target,90%,Exceeding Target,83%,Meeting Target,91%,Exceeding Target,80%,Meeting Target,91%,Meeting Target,Meeting Target,3.07,3.16
J.H.S. 210 ELIZABETH BLACKWELL,27Q210,169,21,3%,65%,342700010210.0,27.0,40.684802000000005,-73.847569,"93-11 101ST AVE OZONE PARK, NY 11416",OZONE PARK,11416.0,"06,07,08",06,08,No,0.602,,13%,28%,6%,61%,67%,3%,93%,23%,86%,Meeting Target,87%,Exceeding Target,82%,Approaching Target,76%,Approaching Target,75%,Approaching Target,89%,Meeting Target,Meeting Target,2.58,2.67
EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,25Q281,70,20,19%,27%,342500011281.0,25.0,40.749539,-73.821454,"46-21 COLDEN ST FLUSHING, NY 11355",FLUSHING,11355.0,"06,07,08,09,10,11,12",06,12,No,0.5379999999999999,,7%,67%,10%,18%,28%,4%,98%,2%,89%,Meeting Target,88%,Exceeding Target,84%,Meeting Target,85%,Meeting Target,74%,Approaching Target,91%,Meeting Target,Exceeding Target,2.96,3.39
P.S. 229 DYKER,20K229,93,20,16%,13%,332000010229.0,20.0,40.610577,-74.013301,"1400 BENSON AVE BROOKLYN, NY 11228",BROOKLYN,11228.0,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.385,"$70,641.62 ",9%,55%,1%,11%,13%,32%,97%,8%,90%,Exceeding Target,88%,Meeting Target,87%,Meeting Target,76%,Approaching Target,80%,Approaching Target,89%,Meeting Target,Meeting Target,3.11,3.44
