Address (Full),Average ELA Proficiency,Average Math Proficiency,City,Collaborative Teachers %,Collaborative Teachers Rating,Community School?,District,Economic Need Index,Effective School Leadership %,Effective School Leadership Rating,Grade High,Grade Low,Grades,Latitude,Longitude,Percent Asian,Percent Black,Percent Black / Hispanic,Percent ELL,Percent Hispanic,Percent White,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,SED Code,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Student Achievement Rating,Student Attendance Rate,Supportive Environment %,Supportive Environment Rating,Trust %,Trust Rating,Zip,avg_math_proficiency_2017,avg_math_proficiency_2017_city_diff,avg_math_proficiency_2017_comp_diff,black_2017_num_students,dbn,econ_need_index_2017_city_diff,econ_need_index_2017_dist_diff,econ_need_index_2017_val,grade_7_2017_enrollment,grade_8_2017_enrollment,hispanic_2017_avg_ela,hispanic_2017_avg_math,hispanic_2017_num_students,num_offered,num_testtakers,pct_8th_graders_offered,pct_8th_graders_w_hs_credit_2017,pct_8th_graders_w_hs_credit_2017_city_diff,pct_8th_graders_w_hs_credit_2017_comp_diff,pct_black_hispanic,pct_hra_assistance_2017_city_diff,pct_hra_assistance_2017_dist_diff,pct_hra_assistance_2017_val,pct_math_level_3_or_4_2017,pct_math_level_3_or_4_2017_city_diff,pct_math_level_3_or_4_2017_comp_diff,pct_poverty_2017_city_diff,pct_poverty_2017_dist_diff,pct_poverty_2017_val,pct_students_w_disabilities_2017_city_diff,pct_students_w_disabilities_2017_dist_diff,pct_students_w_disabilities_2017_val,pct_temp_housing_2017_city_diff,pct_temp_housing_2017_dist_diff,pct_temp_housing_2017_val,sa_attendance_90plus_2017,sa_attendance_90plus_2017_city_diff,sa_attendance_90plus_2017_dist_diff,school_name,econ_need_index_2017_city_diff_binary,perc_testtakers,perc_testtakers_quartile,borough,dist_to_bronx_hs_of_science,dist_to_brooklyn_tech_hs,dist_to_stuyvesant_hs,min_dist_to_big_three,Community School?_Yes,Rigorous Instruction Rating_Approaching Target,Rigorous Instruction Rating_Exceeding Target,Rigorous Instruction Rating_Not Meeting Target,Rigorous Instruction Rating_nan,Collaborative Teachers Rating_Approaching Target,Collaborative Teachers Rating_Exceeding Target,Collaborative Teachers Rating_Not Meeting Target,Collaborative Teachers Rating_nan,Supportive Environment Rating_Approaching Target,Supportive Environment Rating_Exceeding Target,Supportive Environment Rating_nan,Effective School Leadership Rating_Approaching Target,Effective School Leadership Rating_Exceeding Target,Effective School Leadership Rating_Not Meeting Target,Effective School Leadership Rating_nan,Strong Family-Community Ties Rating_Approaching Target,Strong Family-Community Ties Rating_Exceeding Target,Strong Family-Community Ties Rating_Not Meeting Target,Strong Family-Community Ties Rating_nan,Trust Rating_Approaching Target,Trust Rating_Exceeding Target,Trust Rating_Not Meeting Target,Trust Rating_nan,Student Achievement Rating_Approaching Target,Student Achievement Rating_Exceeding Target,Student Achievement Rating_Not Meeting Target,Student Achievement Rating_nan,borough_bronx,borough_manhattan,borough_queens,borough_staten_island,discretionary_funding,Major N,Oth N,NoCrim N,Prop N,Vio N,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Major N_proportion,Oth N_proportion,NoCrim N_proportion,Prop N_proportion,Vio N_proportion
"1560 PURDY ST BRONX, NY 10462",2.49,2.62,BRONX,0.93,Exceeding Target,No,11.0,0.716,0.89,Meeting Target,8,06,"06,07,08",40.838494,-73.853201,0.31,0.23,0.64,0.18,0.41,0.04,0.17,0.9,Meeting Target,321100010127.0,0.76,Approaching Target,Meeting Target,0.94,0.84,Meeting Target,0.93,Meeting Target,10462.0,2.51,-0.2,-0.04,182.0,11X127,0.086,0.049,0.6829999999999999,268.0,234.0,2.53,2.18,306.0,9.0,133.0,0.03,0.247,-0.09,-0.09,0.64,0.07200000000000001,0.037000000000000005,0.519,0.264,-0.06,-0.02,-0.043,-0.031,0.221,-0.042,-0.064,0.16399999999999998,0.073,0.046,0.187,0.797,-0.02,0.0,J.H.S. 127 THE CASTLE HILL,True,0.5683760683760684,4.0,bronx,3.3826947520845985,12.187220732515204,11.840151533868138,3.3826947520845985,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1463814.8800000001,2.0,7.0,9.0,4.0,3.0,1.5499999999999998,5.48,8.9,3.7199999999999998,2.55,1.2903225806451615,1.2773722627737225,1.0112359550561798,1.0752688172043012,1.1764705882352942
"345 E 15TH ST NEW YORK, NY 10003",3.28,2.95,NEW YORK,0.98,Exceeding Target,No,2.0,0.258,0.98,Exceeding Target,12,06,"06,07,08,09,10,11,12",40.732676,-73.982576,0.07,0.16,0.32,0.0,0.16,0.55,0.13,0.94,Exceeding Target,310200011407.0,0.89,Exceeding Target,Approaching Target,0.96,0.9,Exceeding Target,0.96,Exceeding Target,10003.0,2.51,-0.25,-0.03,38.0,02M407,-0.336,-0.078,0.26,72.0,72.0,2.6,2.42,41.0,8.0,21.0,0.11,0.028999999999999998,-0.31,-0.61,0.36,-0.34299999999999997,-0.113,0.10400000000000001,0.266,-0.08,-0.02,-0.086,0.018000000000000002,0.179,-0.139,-0.13,0.066,-0.081,-0.034,0.033,0.893,0.08,-0.04,INSTITUTE FOR COLLABORATIVE EDUCATION,False,0.2916666666666667,3.0,manhattan,11.142510183294624,3.0372975807827816,1.928893094721455,1.928893094721455,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,2428405.29,6.0,22.0,34.0,16.0,10.0,6.039999999999999,22.79,47.18000000000001,14.329999999999998,11.32,0.9933774834437088,0.9653356735410268,0.7206443408223823,1.116538729937195,0.8833922261484098
"3002 FORT HAMILTON PKWY BROOKLYN, NY 11218",2.82,3.05,BROOKLYN,0.91,Meeting Target,No,15.0,0.354,0.92,Exceeding Target,12,06,"06,07,08,09,10,11,12",40.648154999999996,-73.978583,0.06,0.15,0.49,0.02,0.34,0.37,0.07,0.85,Approaching Target,331500860935.0,0.86,Meeting Target,Meeting Target,0.96,0.87,Exceeding Target,0.94,Exceeding Target,11218.0,3.24,0.37,0.05,83.0,84K707,-0.284,-0.183,0.33,107.0,105.0,2.89,2.98,152.0,8.0,24.0,0.07,0.39399999999999996,0.1,-0.07,0.48,-0.273,-0.16,0.19399999999999998,0.609,0.23,0.02,-0.106,-0.106,0.175,-0.03,0.011000000000000001,0.157,-0.076,-0.021,0.038,0.927,0.12,0.03,BROOKLYN PROSPECT CHARTER SCHOOL,False,0.22857142857142856,2.0,brooklyn,16.53657194556993,2.8125119260288316,5.153631914000514,2.8125119260288316,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,545173.48,0.0,0.0,0.0,0.0,0.0,0.38,1.71,2.38,0.98,0.82,0.0,0.0,0.0,0.0,0.0
"74-10 COMMONWEALTH BLVD BELLEROSE, NY 11426",3.07,3.33,BELLEROSE,0.88,Exceeding Target,No,26.0,0.239,0.87,Meeting Target,8,PK,"PK,0K,01,02,03,04,05,06,07,08",40.746010999999996,-73.728385,0.43,0.14,0.38,0.03,0.24,0.17,0.05,0.89,Meeting Target,342600010266.0,0.84,Meeting Target,Exceeding Target,0.97,0.86,Exceeding Target,0.9,Meeting Target,11426.0,3.19,0.32,-0.09,110.0,26Q266,-0.387,0.011000000000000001,0.228,62.0,82.0,3.21,2.87,143.0,8.0,33.0,0.1,0.7440000000000001,0.45,0.23,0.43,-0.319,0.013999999999999999,0.14800000000000002,0.595,0.22,-0.05,-0.185,0.005,0.096,0.006999999999999999,0.024,0.19399999999999998,0.013000000000000001,0.0,0.127,0.9309999999999999,0.12,0.03,P.S./I.S. 266,False,0.4024390243902439,3.0,queens,12.48587183782301,13.618115239086837,15.104213428891255,12.48587183782301,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,15000.0,0.0,0.0,2.0,0.0,0.0,0.92,3.5500000000000007,5.32,2.37,1.6300000000000001,0.0,0.0,0.37593984962406013,0.0,0.0
"37 HICKS ST BROOKLYN, NY 11201",3.19,3.17,BROOKLYN,0.93,Exceeding Target,No,13.0,0.179,0.9,Exceeding Target,8,PK,"PK,0K,01,02,03,04,05,07,08",40.70072800000001,-73.992805,0.06,0.14,0.25,0.02,0.11,0.61,0.08,0.91,Exceeding Target,331300010008.0,0.92,Exceeding Target,Meeting Target,0.96,0.84,Meeting Target,0.92,Meeting Target,11201.0,3.25,0.38,-0.16,126.0,13K008,-0.465,-0.32299999999999995,0.149,66.0,86.0,3.18,2.94,110.0,8.0,42.0,0.13,0.863,0.56,0.38,0.27,-0.379,-0.248,0.08800000000000001,0.629,0.25,-0.07,-0.20199999999999999,-0.146,0.079,-0.042,-0.017,0.145,-0.091,-0.047,0.023,0.898,0.09,-0.03,P.S. 008 ROBERT FULTON,False,0.4883720930232558,4.0,brooklyn,13.371219901217053,1.1771779140671983,1.6156667192035177,1.1771779140671983,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11602634.059999999,4.0,0.0,1.0,4.0,0.0,1.3599999999999999,5.07,7.64,3.31,2.32,2.9411764705882355,0.0,0.13089005235602094,1.2084592145015105,0.0
"2365 WATERBURY AVE BRONX, NY 10462",2.5,2.82,BRONX,0.87,Exceeding Target,No,11.0,0.764,0.79,Meeting Target,8,0K,"0K,01,02,03,04,05,06,07,08",40.835236,-73.846547,0.33,0.08,0.61,0.14,0.53,0.04,0.16,0.92,Exceeding Target,321100010194.0,0.76,Not Meeting Target,Meeting Target,0.95,0.85,Meeting Target,0.88,Meeting Target,10462.0,2.75,-0.12,-0.04,100.0,11X194,0.083,0.11599999999999999,0.698,157.0,146.0,2.41,2.43,675.0,8.0,64.0,0.05,0.21,-0.09,-0.16,0.56,0.054000000000000006,0.1,0.52,0.386,0.01,-0.02,-0.005,0.023,0.276,-0.035,-0.006,0.152,0.028999999999999998,0.051,0.14300000000000002,0.8140000000000001,0.0,-0.01,P.S./M.S. 194,True,0.4383561643835616,4.0,bronx,3.771660398183606,12.189512885102662,11.937414478391322,3.771660398183606,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1463814.8800000001,0.0,3.0,2.0,2.0,1.0,2.39,9.5,16.39,6.069999999999999,4.47,0.0,0.3157894736842105,0.12202562538133008,0.3294892915980231,0.2237136465324385
"26 BROADWAY-6TH FL NEW YORK, NY 10004",2.77,2.88,NEW YORK,0.93,Exceeding Target,No,2.0,0.564,0.95,Exceeding Target,8,06,"06,07,08",40.705442,-74.012888,0.4,0.09,0.29,0.08,0.2,0.27,0.08,0.84,Meeting Target,310200010896.0,0.85,Exceeding Target,Meeting Target,0.96,0.9,Exceeding Target,0.96,Exceeding Target,10004.0,3.06,0.35,0.1,38.0,02M896,-0.098,0.16,0.499,133.0,127.0,2.75,2.5,63.0,8.0,70.0,0.06,0.325,-0.02,-0.08,0.28,-0.095,0.136,0.35200000000000004,0.561,0.23,0.08,-0.037000000000000005,0.067,0.228,0.048,0.057999999999999996,0.254,-0.005,0.042,0.109,0.915,0.1,0.06,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,False,0.5511811023622047,4.0,manhattan,13.538647547182256,2.2188309527669543,0.8594518187602114,0.8594518187602114,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,4490609.26,6.0,25.0,43.0,12.0,14.0,2.39,9.5,16.39,6.069999999999999,4.47,2.510460251046025,2.6315789473684212,2.6235509456985966,1.9769357495881386,3.131991051454139
"528 ACADEMY AVE STATEN ISLAND, NY 10307",3.0,3.02,STATEN ISLAND,0.85,Exceeding Target,No,31.0,0.225,0.78,Meeting Target,8,06,"06,07,08",40.507803,-74.24322099999998,0.04,0.0,0.11,0.01,0.11,0.85,0.22,0.9,Exceeding Target,353100010034.0,0.72,Approaching Target,Exceeding Target,0.93,0.84,Meeting Target,0.87,Meeting Target,10307.0,3.13,0.42,0.16,94.0,31R034,-0.374,-0.19,0.223,383.0,389.0,2.93,2.79,119.0,8.0,81.0,0.02,0.17300000000000001,-0.17,-0.2,0.12,-0.311,-0.17600000000000002,0.136,0.55,0.22,0.06,-0.174,-0.061,0.09,0.068,0.021,0.27399999999999997,-0.095,-0.043,0.02,0.7859999999999999,-0.03,-0.08,I.S. 034 TOTTENVILLE,False,0.20822622107969152,2.0,staten_island,31.56288163583462,18.779579838840636,18.86051037027048,18.779579838840636,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,29000.0,0.0,5.0,1.0,1.0,2.0,1.6099999999999999,6.71,10.89,4.04,3.0999999999999996,0.0,0.7451564828614009,0.09182736455463728,0.24752475247524752,0.6451612903225807
"800 BAYCHESTER AVE BRONX, NY 10475",2.66,2.67,BRONX,0.9,Exceeding Target,No,11.0,0.534,0.84,Meeting Target,8,06,"06,07,08",40.874988,-73.832178,0.05,0.63,0.89,0.03,0.26,0.04,0.21,0.87,Exceeding Target,321100010181.0,0.77,Approaching Target,Meeting Target,0.93,0.86,Meeting Target,0.91,Meeting Target,10475.0,2.67,-0.04,0.05,524.0,11X181,-0.094,-0.131,0.502,294.0,261.0,2.71,2.44,243.0,8.0,124.0,0.03,0.445,0.1,0.13,0.88,-0.08,-0.115,0.36700000000000005,0.348,0.02,0.02,-0.07400000000000001,-0.062,0.19,0.06,0.038,0.266,-0.036000000000000004,-0.063,0.078,0.809,0.0,0.01,I.S. 181 PABLO CASALS,False,0.47509578544061304,4.0,bronx,3.0806310913994395,14.910959508389933,14.428704419805698,3.0806310913994395,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,159000.0,2.0,22.0,13.0,12.0,8.0,1.3599999999999999,5.07,7.64,3.31,2.32,1.4705882352941178,4.339250493096647,1.7015706806282722,3.6253776435045317,3.4482758620689657
"800 BAYCHESTER AVE BRONX, NY 10475",2.66,2.67,BRONX,0.9,Exceeding Target,No,11.0,0.534,0.84,Meeting Target,8,06,"06,07,08",40.874988,-73.832178,0.05,0.63,0.89,0.03,0.26,0.04,0.21,0.87,Exceeding Target,321100010181.0,0.77,Approaching Target,Meeting Target,0.93,0.86,Meeting Target,0.91,Meeting Target,10475.0,2.67,-0.04,0.05,524.0,11X181,-0.094,-0.131,0.502,294.0,261.0,2.71,2.44,243.0,8.0,124.0,0.03,0.445,0.1,0.13,0.88,-0.08,-0.115,0.36700000000000005,0.348,0.02,0.02,-0.07400000000000001,-0.062,0.19,0.06,0.038,0.266,-0.036000000000000004,-0.063,0.078,0.809,0.0,0.01,I.S. 181 PABLO CASALS,False,0.47509578544061304,4.0,bronx,3.0806310913994395,14.910959508389933,14.428704419805698,3.0806310913994395,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,159000.0,2.0,22.0,13.0,12.0,8.0,1.3599999999999999,5.07,7.64,3.31,2.32,1.4705882352941178,4.339250493096647,1.7015706806282722,3.6253776435045317,3.4482758620689657
"144-39 GRAVETT RD FLUSHING, NY 11367",2.71,2.97,FLUSHING,0.86,Exceeding Target,No,25.0,0.457,0.82,Meeting Target,8,PK,"PK,0K,01,02,03,04,05,06,07,08",40.735855,-73.823583,0.44,0.09,0.4,0.15,0.32,0.16,0.13,0.91,Exceeding Target,342500010219.0,0.78,Approaching Target,Exceeding Target,0.96,0.9,Meeting Target,0.88,Meeting Target,11367.0,3.06,0.19,0.2,48.0,25Q219,-0.19399999999999998,0.032,0.42100000000000004,77.0,84.0,2.69,2.69,187.0,7.0,29.0,0.09,0.747,0.45,0.42,0.36,-0.205,0.012,0.262,0.535,0.16,0.09,-0.135,-0.018000000000000002,0.146,0.079,0.077,0.266,-0.005,0.054000000000000006,0.109,0.888,0.08,0.05,P.S. 219 PAUL KLAPPER,False,0.34523809523809523,3.0,queens,10.444385971013105,8.666512712704757,10.0595034769632,8.666512712704757,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1141528.0,0.0,3.0,2.0,0.0,2.0,0.92,3.5500000000000007,5.32,2.37,1.6300000000000001,0.0,0.8450704225352111,0.37593984962406013,0.0,1.2269938650306749
"500 19TH ST BROOKLYN, NY 11215",2.53,2.5,BROOKLYN,0.82,Meeting Target,No,15.0,0.485,0.85,Meeting Target,8,06,"06,07,08",40.656204,-73.982638,0.07,0.33,0.66,0.03,0.33,0.23,0.08,0.75,Approaching Target,331500861011.0,0.88,Exceeding Target,Approaching Target,0.96,0.83,Meeting Target,0.89,Meeting Target,11215.0,2.56,-0.15,-0.05,98.0,84K758,-0.057,0.047,0.54,103.0,90.0,2.67,2.33,110.0,7.0,43.0,0.07,0.775,0.43,0.47,0.72,-0.054000000000000006,0.032,0.39299999999999996,0.298,-0.03,0.0,-0.042,-0.011000000000000001,0.222,0.051,0.013999999999999999,0.256,-0.019,0.035,0.095,0.893,0.08,0.1,BROOKLYN URBAN GARDEN CHARTER SCHOOL,False,0.4777777777777778,4.0,brooklyn,16.066294317687422,2.2770302541392367,4.558758484824304,2.2770302541392367,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2272085.38,0.0,0.0,0.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,0.0,0.0,0.0,0.0,0.0
"6006 23RD AVE BROOKLYN, NY 11204",2.72,2.89,BROOKLYN,0.93,Meeting Target,No,21.0,0.6920000000000001,0.85,Meeting Target,8,PK,"PK,0K,01,02,03,04,05,06,07,08",40.615326,-73.97694399999997,0.28,0.02,0.33,0.21,0.31,0.38,0.11,0.95,Exceeding Target,332100010226.0,0.82,Meeting Target,Meeting Target,0.95,0.92,Exceeding Target,0.93,Exceeding Target,11204.0,2.98,0.11,-0.02,22.0,21K226,0.036000000000000004,-0.033,0.6509999999999999,104.0,107.0,2.64,2.69,281.0,7.0,44.0,0.07,0.469,0.17,0.14,0.31,0.044000000000000004,-0.038,0.511,0.47100000000000003,0.09,-0.03,-0.045,-0.045,0.23600000000000002,-0.017,-0.051,0.17,-0.013000000000000001,0.016,0.10099999999999999,0.8390000000000001,0.03,-0.02,P.S. 226 ALFRED DE B.MASON,True,0.411214953271028,3.0,brooklyn,18.70218266816229,5.075973172070575,7.335904489783454,5.075973172070575,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2298276.0,1.0,6.0,5.0,3.0,4.0,2.0500000000000003,7.949999999999999,13.33,5.06,3.9299999999999997,0.4878048780487804,0.7547169811320755,0.3750937734433608,0.5928853754940712,1.0178117048346056
"646 5TH AVE BROOKLYN, NY 11215",2.94,3.34,BROOKLYN,0.94,Exceeding Target,No,15.0,0.484,0.91,Exceeding Target,8,0K,"0K,01,02,03,04,05,06,07,08",40.662963,-73.992106,0.03,0.26,0.66,0.03,0.4,0.28,0.07,0.96,Exceeding Target,331500860878.0,0.85,Meeting Target,Exceeding Target,0.96,0.94,Exceeding Target,0.95,Exceeding Target,11215.0,3.42,0.55,0.04,109.0,84K362,-0.158,-0.057999999999999996,0.456,51.0,45.0,3.04,3.28,211.0,7.0,46.0,0.14,0.4,0.1,-0.02,0.62,-0.196,-0.083,0.271,0.6829999999999999,0.31,0.0,-0.040999999999999995,-0.04,0.24,-0.095,-0.054000000000000006,0.092,-0.062,-0.006999999999999999,0.052000000000000005,0.951,0.14,0.05,HELLENIC CLASSICAL CHARTER SCHOOL,False,1.0222222222222221,4.0,brooklyn,15.782117966600923,1.9642197073561436,3.956249253581529,1.9642197073561436,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,2272085.38,1.0,6.0,8.0,4.0,3.0,1.3599999999999999,5.07,7.64,3.31,2.32,0.7352941176470589,1.1834319526627217,1.0471204188481675,1.2084592145015105,1.293103448275862
"100 HESTER ST NEW YORK, NY 10002",2.49,3.02,NEW YORK,0.92,Meeting Target,No,2.0,0.8370000000000001,0.86,Meeting Target,8,06,"06,07,08",40.716213,-73.993555,0.77,0.08,0.22,0.35,0.14,0.0,0.09,0.86,Meeting Target,310200010131.0,0.78,Meeting Target,Exceeding Target,0.97,0.91,Meeting Target,0.95,Exceeding Target,10002.0,3.05,0.34,0.25,26.0,02M131,0.182,0.441,0.779,125.0,170.0,2.31,2.12,43.0,7.0,54.0,0.05,0.171,-0.17,-0.17,0.17,0.059000000000000004,0.289,0.505,0.532,0.21,0.13,0.096,0.2,0.36,0.035,0.044000000000000004,0.24100000000000002,0.188,0.235,0.302,0.925,0.11,0.08,M.S. 131,True,0.3176470588235294,3.0,manhattan,12.416022743253432,2.0835882148822313,1.0665490870554548,1.0665490870554548,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,3591953.98,3.0,10.0,11.0,10.0,2.0,1.6099999999999999,6.71,10.89,4.04,3.0999999999999996,1.863354037267081,1.4903129657228018,1.01010101010101,2.4752475247524752,0.6451612903225807
"2750 LAFAYETTE AVE BRONX, NY 10465",2.89,2.74,BRONX,0.86,Meeting Target,No,8.0,0.489,0.85,Meeting Target,8,06,"06,07,08",40.827214,-73.829212,0.14,0.1,0.66,0.01,0.56,0.2,0.15,0.89,Meeting Target,320800010101.0,0.73,Approaching Target,Meeting Target,0.95,0.88,Meeting Target,0.89,Meeting Target,10465.0,2.82,0.11,-0.34,50.0,08X101,-0.171,-0.326,0.425,154.0,162.0,3.06,2.62,278.0,7.0,66.0,0.05,0.452,0.11,-0.08,0.67,-0.175,-0.316,0.271,0.385,0.06,-0.19,-0.046,-0.142,0.21899999999999997,0.008,-0.052000000000000005,0.214,-0.062,-0.138,0.052000000000000005,0.8590000000000001,0.05,-0.01,M.S. X101 EDWARD R. BYRNE,False,0.4074074074074074,3.0,bronx,4.781668950935922,12.286722775625165,12.273219618426356,4.781668950935922,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,228100.47999999998,0.0,1.0,2.0,1.0,0.0,2.2199999999999998,9.219999999999999,16.89,5.45,4.62,0.0,0.1084598698481562,0.11841326228537596,0.18348623853211007,0.0
"100 ESSEX DR STATEN ISLAND, NY 10314",3.03,3.01,STATEN ISLAND,0.88,Exceeding Target,No,31.0,0.317,0.85,Meeting Target,8,06,"06,07,08",40.581969,-74.15935999999998,0.1,0.07,0.27,0.0,0.2,0.62,0.1,0.94,Exceeding Target,353100010063.0,0.76,Approaching Target,Exceeding Target,0.95,0.9,Exceeding Target,0.86,Approaching Target,10314.0,3.0,0.29,-0.09,30.0,31R063,-0.32799999999999996,-0.14400000000000002,0.268,159.0,140.0,2.93,2.61,101.0,7.0,70.0,0.04,0.46399999999999997,0.12,0.03,0.31,-0.287,-0.152,0.16,0.48200000000000004,0.16,-0.06,-0.14300000000000002,-0.03,0.122,0.011000000000000001,-0.036000000000000004,0.21600000000000003,-0.085,-0.033,0.028999999999999998,0.8759999999999999,0.06,-0.01,MARSH AVENUE SCHOOL FOR EXPEDITIONARY LEARNING,False,0.5,4.0,staten_island,24.836924880167444,12.110163982224728,12.104057321025937,12.104057321025937,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,4466384.59,1.0,6.0,22.0,5.0,2.0,2.39,9.5,16.39,6.069999999999999,4.47,0.41841004184100417,0.631578947368421,1.342281879194631,0.8237232289950578,0.447427293064877
"525 LENOX RD BROOKLYN, NY 11203",3.05,3.1,BROOKLYN,0.94,Meeting Target,No,18.0,0.52,0.9,Exceeding Target,8,PK,"PK,0K,01,02,03,04,05,06,07,08",40.654737,-73.940641,0.02,0.93,0.95,0.01,0.02,0.02,0.11,0.92,Meeting Target,331800010235.0,0.83,Meeting Target,Exceeding Target,0.95,0.86,Meeting Target,0.93,Meeting Target,11203.0,3.18,0.31,-0.09,1154.0,18K235,-0.133,-0.044000000000000004,0.48100000000000004,93.0,111.0,2.6,2.42,19.0,7.0,89.0,0.08,0.946,0.65,0.34,0.95,-0.128,-0.053,0.33899999999999997,0.624,0.25,-0.01,-0.073,-0.01,0.20800000000000002,-0.106,-0.043,0.081,-0.07,-0.003,0.044000000000000004,0.8690000000000001,0.06,0.01,P.S. 235 JANICE MARIE KNIGHT SCHOOL,False,0.8018018018018018,4.0,brooklyn,15.648310828982067,3.022518518327641,5.807793119741583,3.022518518327641,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1413757.1600000001,0.0,0.0,0.0,0.0,0.0,2.0900000000000003,8.64,14.4,5.26,4.23,0.0,0.0,0.0,0.0,0.0
"208 N 5TH ST BROOKLYN, NY 11211",2.85,2.6,BROOKLYN,0.91,Exceeding Target,No,14.0,0.551,0.89,Meeting Target,8,06,"06,07,08",40.715274,-73.95705699999998,0.03,0.03,0.62,0.03,0.59,0.35,0.16,0.92,Exceeding Target,331400010577.0,0.78,Meeting Target,Approaching Target,0.95,0.88,Meeting Target,0.92,Meeting Target,11211.0,2.83,0.12,-0.22,22.0,14K577,-0.08800000000000001,-0.17800000000000002,0.509,173.0,152.0,2.93,2.53,284.0,7.0,90.0,0.04,0.609,0.27,0.1,0.61,-0.085,-0.158,0.36200000000000004,0.42,0.09,-0.11,-0.032,-0.11800000000000001,0.23199999999999998,-0.004,-0.037000000000000005,0.20199999999999999,-0.084,-0.068,0.03,0.909,0.1,0.04,CONSELYEA PREPARATORY SCHOOL,False,0.5921052631578947,4.0,brooklyn,11.775183238202647,2.0916824038326896,2.981997434939763,2.0916824038326896,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3033679.86,0.0,0.0,5.0,0.0,0.0,1.3599999999999999,5.07,7.64,3.31,2.32,0.0,0.0,0.6544502617801048,0.0,0.0
"1925 STUART ST BROOKLYN, NY 11229",2.78,2.68,BROOKLYN,0.91,Meeting Target,No,22.0,0.494,0.88,Exceeding Target,8,06,"06,07,08",40.60667,-73.938716,0.09,0.47,0.63,0.03,0.16,0.27,0.17,0.91,Exceeding Target,332200010278.0,0.94,Exceeding Target,Meeting Target,0.94,0.8,Approaching Target,0.91,Meeting Target,11229.0,2.81,0.1,0.01,459.0,22K278,-0.152,-0.07400000000000001,0.444,294.0,313.0,2.81,2.67,164.0,7.0,98.0,0.02,0.44299999999999995,0.1,0.06,0.6,-0.13699999999999998,-0.064,0.31,0.39799999999999996,0.07,0.0,-0.11599999999999999,-0.034,0.149,-0.016,0.006999999999999999,0.18899999999999997,-0.033,-0.006999999999999999,0.081,0.83,0.02,-0.03,J.H.S. 278 MARINE PARK,False,0.31309904153354634,3.0,brooklyn,18.912965773077346,6.013628996025129,8.627303751007192,6.013628996025129,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,833725.48,0.0,9.0,13.0,4.0,3.0,1.4,5.76,8.71,3.5100000000000002,2.62,0.0,1.5625,1.4925373134328357,1.1396011396011396,1.1450381679389312
